set,id,face,side,time,es,en
act1_hall,A1_HALL_LINUS_STRANGEST_DREAM,FACE_linus,SIDE_RIGHT,DEFAULT_TALK_TIME,"He tenido un sueño|de lo más extraño, Madre","I have had the strangest|dream, Mother"
act1_hall,A1_HALL_SWAN_CAME,FACE_linus,SIDE_RIGHT,DEFAULT_TALK_TIME,Un @[cisne@] venía a|mi cuarto y...,A @[swan@] came to my room|and...
act1_hall,A1_HALL_CLIO_TELL_LATER,FACE_clio,SIDE_LEFT,DEFAULT_TALK_TIME,Luego me lo cuentas|@[Xander@] nos espera,You can tell me later|@[Xander@] is waiting for us
act1_hall,NULL,0,false,DEFAULT_TALK_TIME,,
act1_hall,A1_HALL_XANDER_AWAKE,FACE_xander,SIDE_LEFT,DEFAULT_TALK_TIME,"Por fin|estás despierto, Linus","At last,|you're awake Linus"
act1_hall,A1_HALL_LINUS_FORGIVE,FACE_linus,SIDE_RIGHT,DEFAULT_TALK_TIME,"Perdóname, maestro|Un extraño sueño me ha|mantenido despierto","Forgive me, master|A strange dream has|kept me awake"
act1_hall,A1_HALL_XANDER_YOUR_FATHERS_SON,FACE_xander,SIDE_LEFT,DEFAULT_TALK_TIME,Ciertamente eres el|hijo de tu padre|@[Aiden@] tenía grandes sueños,You are certainly your|father's son|@[Aiden@] had big dreams
act1_hall,A1_HALL_XANDER_UNFULFILLED,FACE_xander,SIDE_LEFT,DEFAULT_TALK_TIME,Y estamos aquí para hablar|sobre uno que|nunca llegó a cumplir,And we are here to talk|about one that he|never achieved
act1_hall,A1_HALL_LINUS_WHICH_STORY,FACE_linus,SIDE_RIGHT,DEFAULT_TALK_TIME,He leído sus historias|mil veces|¿De cuál hablamos?,I've read his stories|a thousand times|Which one is this?
act1_hall,A1_HALL_XANDER_ISLAND_LEGEND,FACE_xander,SIDE_LEFT,DEFAULT_TALK_TIME,Una que no encontrarás en|un libro. La de la isla|del @[Gremio de los Tejedores@],One you won't find in a book|The one about @[Weavers|guild@] island
act1_hall,NULL,0,false,DEFAULT_TALK_TIME,,
act1_hall,A1_HALL_XANDER_ABILITY,FACE_xander,SIDE_LEFT,DEFAULT_TALK_TIME,Según la leyenda|Fueron un gremio|capaz de tejer hechizos,According to the legend|They were a guild|able to weave spells
act1_hall,A1_HALL_XANDER_NOT_LEGEND,FACE_xander,SIDE_LEFT,DEFAULT_TALK_TIME,Para él no era una leyenda|Los @[Pastores@] la cantaban|como cierta,That was no legend for him|@[Shepherds@] sang it as a fact
act1_hall,A1_HALL_XANDER_VANISHED,FACE_xander,SIDE_LEFT,DEFAULT_TALK_TIME,Desaparecieron sin dejar rastro|Aunque muchos creen|que era solo un cuento,They vanished without a trace|Although many believe|it was just a tale
act1_hall,NULL,0,false,DEFAULT_TALK_TIME,,
act1_hall,A1_HALL_XANDER_FATHER_WANTED,FACE_xander,SIDE_LEFT,DEFAULT_TALK_TIME,Tu padre quería encontrar|@[la isla donde vivían@],Your father wanted to find|their @[home island@]
act1_hall,A1_HALL_CLIO_DESTINY,FACE_clio,SIDE_RIGHT,DEFAULT_TALK_TIME,"Nuestro destino es|documentar hechos,|no perseguirlos","Our destiny is to|document facts,|not to chase them"
act1_hall,A1_HALL_XANDER_LINUS_AGE,FACE_xander,SIDE_LEFT,DEFAULT_TALK_TIME,Linus tiene diecisiete años|Esa era mi edad cuando|viajé por el mundo,Linus is seventeen|That was my age when|I traveled the world
act1_hall,A1_HALL_XANDER_FATHERS_AGE,FACE_xander,SIDE_LEFT,DEFAULT_TALK_TIME,Y la edad de su padre cuando|llegó aquí,And his father's age when|he came to us
act1_hall,A1_HALL_XANDER_BEFORE_JOINED,FACE_xander,SIDE_LEFT,DEFAULT_TALK_TIME,Un año antes de que|le acogiéramos|como uno de los nuestros,A year before we|took him as one of ours
act1_hall,A1_HALL_LINUS_MOTHER,FACE_linus,SIDE_RIGHT,100,Madre...,Mother...
act1_hall,NULL,0,false,DEFAULT_TALK_TIME,,
act1_hall,A1_HALL_CLIO_IF_XANDER_WANTS,FACE_clio,SIDE_LEFT,DEFAULT_TALK_TIME,"Si Xander lo quiere, así será|Pero no irás solo","If Xander wants it that way,|so it will be|But you'll not go alone"
act1_hall,A1_HALL_CLIO_I_WONT_LET_YOU,FACE_clio,SIDE_LEFT,DEFAULT_TALK_TIME,Nunca me ha gustado viajar|Pero no dejaré que vayas solo,I've never liked to travel|But I won't let you go alone
act1_forest,A1_FOREST_SOME_TIME_LATER,FACE_none,SIDE_LEFT,DEFAULT_TALK_TIME,Algún tiempo después,Some time later
act1_forest,A1_FOREST_ENEMIES_APPROACHING,FACE_linus,SIDE_LEFT,DEFAULT_TALK_TIME,"Se aproximan enemigos|Tenemos que estar atentos|Quédate cerca, madre","Enemies are approaching|We have to stay alert|Stay close, mother"
act1_forest,A1_FOREST_NOTE_ABOUT_SCENE,FACE_none,SIDE_LEFT,DEFAULT_TALK_TIME,@[NOTA@]: Puede que esta escena o estos|hechizos no estén en el|juego cuando esté terminado,@[NOTE@]: This scene or these|spells may not be in the|game when finished
act1_forest,A1_FOREST_DEMO_REASON,FACE_none,SIDE_LEFT,DEFAULT_TALK_TIME,Se ha decidido incluirla|en esta demo técnica|como prueba de ciertas mecánicas,It's been decided to include it|in this technical demo|as a test of certain mechanics
act1_forest,A1_FOREST_PRESS_START,FACE_none,SIDE_LEFT,DEFAULT_TALK_TIME,Pulsa @[START@] para ver|tu inventario de hechizos,Press @[START@] to view|your spell inventory
act1_forest,NULL,0,false,DEFAULT_TALK_TIME,,
act1_forest,A1_FOREST_3BUTTONS,FACE_none,SIDE_LEFT,DEFAULT_TALK_TIME,"Vaya, parece que estás usando|@[un mando de tres botones@]","Oops, it seems you are using|@[a three-button controller@]"
act1_forest,A1_FOREST_BUTTONS_HINT,FACE_none,SIDE_LEFT,DEFAULT_TALK_TIME,"El juego completo necesitará|@[seis botones@], pero para esta demo|solo necesitas tres","The full game will need|@[six buttons@], but for this demo|you only need three"
act1_forest,NULL,0,false,DEFAULT_TALK_TIME,,
act1_forest,A1_FOREST_THAT_HURTS,FACE_linus,SIDE_LEFT,DEFAULT_TALK_TIME,Eso ha dolido,That hurts
act1_forest,A1_FOREST_THINK_BACKWARDS,FACE_linus,SIDE_LEFT,DEFAULT_TALK_TIME,Quizá deba pensar|al revés,I should maybe|think backwards
act1_forest,A1_FOREST_TRY_HIDE_OR_THUNDER,FACE_linus,SIDE_LEFT,DEFAULT_TALK_TIME,Puedo probar a esconderme|o tratar de invocar|al trueno,I could try to hide|or attempt to summon|the thunder
act1_forest,A1_FOREST_REVERSE_HINT,FACE_linus,SIDE_LEFT,DEFAULT_TALK_TIME,Tengo que contraatacar|justo después de su hechizo,I have to counterattack|right after their spell
act1_forest,A1_FOREST_REVERSE_NOTES_COUNTER,FACE_linus,SIDE_LEFT,DEFAULT_TALK_TIME,"Si reproduzco al revés|las notas, podré|contraatacar este hechizo",If I play the notes backwards|I could be able to|counter the spell
act1_forest,A1_FOREST_CANT_CAST_WHILE_HIDDEN,FACE_linus,SIDE_LEFT,DEFAULT_TALK_TIME,No puedo lanzar hechizos|si estoy escondido,I can't launch spells|while hiding
act1_forest,A1_FOREST_GOOD_IDEA_HIDE,FACE_linus,SIDE_LEFT,DEFAULT_TALK_TIME,Buena idea. Así no me verán,Good idea. They won't see me
act1_forest,A1_FOREST_THATS_ALL,FACE_none,SIDE_LEFT,DEFAULT_TALK_TIME,@[¡Esto es todo!@]|(por ahora),@[That's all!@]|(by now)
act1_forest,A1_FOREST_THANKS_FOR_PLAYING,FACE_none,SIDE_LEFT,DEFAULT_TALK_TIME,Gracias por probar la demo técnica|Síguenos por X o BlueSky|@[@GeeseBumpsGames@],Thanks for testing our tech demo|Follow us in X or BlueSky|@[@GeeseBumpsGames@]
act1_forest,A1_FOREST_TURN_OFF_CONSOLE,FACE_none,SIDE_LEFT,DEFAULT_TALK_TIME,Apaga tu consola|y haz algo constructivo|como jugar un poco al frontón,Turn off your console|and do something constructive|like play a little racquetball
act1_forest,A1_FOREST_ORGANIZE_SOCKS,FACE_none,SIDE_LEFT,DEFAULT_TALK_TIME,"o preparar la cena,|o organizar tu cajón de calcetines|alfabéticamente.","or cook dinner,|or organize your sock drawer|alphabetically."
act1_bedroom,A1_BEDROOM_HUNDRED_YEARS,FACE_swan,SIDE_LEFT,DEFAULT_TALK_TIME,Han pasado ya cien años,A hundred years have passed
act1_bedroom,A1_BEDROOM_CANT_STOP_LONG,FACE_swan,SIDE_LEFT,DEFAULT_TALK_TIME,No podremos pararles|por mucho más tiempo,We won't be able to|stop them for much longer
act1_bedroom,NULL,0,false,DEFAULT_TALK_TIME,,
act1_bedroom,A1_BEDROOM_NEXT_MORNING,FACE_none,SIDE_LEFT,DEFAULT_TALK_TIME,A la mañana siguiente...,The next morning...
act1_bedroom,A1_BEDROOM_SLEPT_BAD,FACE_linus,SIDE_LEFT,DEFAULT_TALK_TIME,He dormido regular esta noche|Tuve horribles pesadillas,I've not slept well last night|I had terrible nightmares
act1_bedroom,A1_BEDROOM_NO_TIME_TO_SIT,FACE_linus,SIDE_LEFT,DEFAULT_TALK_TIME,No tengo tiempo de sentarme|@[Madre@] me espera,I don't have time to sit down|@[Mother@] is waiting for me
act1_bedroom,A1_BEDROOM_NOT_REAL,FACE_linus,SIDE_LEFT,DEFAULT_TALK_TIME,No ha podido ser real|La ventana está cerrada,It couldn't be real|The windows is closed
act1_bedroom,A1_BEDROOM_LULLABY,FACE_linus,SIDE_LEFT,DEFAULT_TALK_TIME,Esta es la @[nana@] que me|cantaban cada noche,That's the @[lullaby@] they used|to sing to me every night
act1_bedroom,NULL,0,false,DEFAULT_TALK_TIME,,
act1_bedroom,A1_BEDROOM_LEARNED_PATTERN,FACE_none,SIDE_LEFT,DEFAULT_TALK_TIME,Has aprendido|tu primer @[patrón@],You have learned|your first @[pattern@]
act1_bedroom,A1_BEDROOM_ENTER_PAUSE_MENU,FACE_none,SIDE_LEFT,DEFAULT_TALK_TIME,Entra en el menú de|pausa para verlo,Enter the pause menu|to check it out
act1_bedroom,NULL,0,false,DEFAULT_TALK_TIME,,
act1_bedroom,A1_BEDROOM_MOTHER_CALLS,FACE_clio,SIDE_RIGHT,DEFAULT_TALK_TIME,"@[Linus@], ¿dónde estás?","@[Linus@], where are you?"
act1_bedroom,A1_BEDROOM_TOO_LATE,FACE_linus,SIDE_LEFT,DEFAULT_TALK_TIME,Se me ha hecho demasiado tarde|tengo que ir al salón,It's gotten too late|I need to go the hall
act1_test,A1_TEST_INTRO,FACE_linus,SIDE_LEFT,DEFAULT_TALK_TIME,TEST: Banco de pruebas|del motor de escenas,TEST: Scene engine|test bench
act1_test,A1_TEST_INTRO_2,FACE_linus,SIDE_LEFT,DEFAULT_TALK_TIME,Un menú permite probar|cada sección y volver|Botones: A=MI B=FA C=SOL|X=LA Y=SI Z=DO,A menu lets you test|each section and return|Buttons: A=MI B=FA C=SOL|X=LA Y=SI Z=DO
act1_test,A1_TEST_INTRO_3,FACE_linus,SIDE_LEFT,DEFAULT_TALK_TIME,Pulsa @[A@] para empezar,Press @[A@] to start
act1_test,NULL,,,,,
act1_test,A1_TEST_HUB,FACE_linus,SIDE_LEFT,DEFAULT_TALK_TIME,TEST: ¿Qué sección|quieres probar?,TEST: Which section|do you want to test?
act1_test,A1_TEST_DLG_CLIO,FACE_clio,SIDE_RIGHT,DEFAULT_TALK_TIME,TEST: Cara de Clio|a la derecha,TEST: Clio face|on the right
act1_test,A1_TEST_DLG_XANDER,FACE_xander,SIDE_LEFT,DEFAULT_TALK_TIME,TEST: Cara de Xander|a la izquierda,TEST: Xander face|on the left
act1_test,A1_TEST_ANIM,FACE_linus,SIDE_LEFT,DEFAULT_TALK_TIME,TEST: Animación de magia|lanzada por opcode del DSL,TEST: Magic animation|via DSL opcode
act1_test,A1_TEST_QUIZ_Q1,FACE_linus,SIDE_LEFT,DEFAULT_TALK_TIME,TEST Quiz 1 de 2:|¿Cuántas notas tiene un|patrón del jugador?,TEST Quiz 1 of 2:|How many notes has|a player pattern?
act1_test,A1_TEST_QUIZ_BAD,FACE_linus,SIDE_LEFT,DEFAULT_TALK_TIME,TEST: Respuesta incorrecta|Inténtalo otra vez,TEST: Wrong answer|Try again
act1_test,A1_TEST_QUIZ_Q2,FACE_linus,SIDE_LEFT,DEFAULT_TALK_TIME,TEST Quiz 2 de 2:|¿Qué hechizo es palíndromo|y no puede invertirse?,TEST Quiz 2 of 2:|Which spell is a palindrome|and cannot be reversed?
act1_test,A1_TEST_QUIZ_CONF,FACE_linus,SIDE_LEFT,DEFAULT_TALK_TIME,TEST: ¿Estás seguro|de tu respuesta?,TEST: Are you sure|about your answer?
act1_test,A1_TEST_QUIZ_OK,FACE_linus,SIDE_LEFT,DEFAULT_TALK_TIME,TEST: ¡Quiz superado!|Choices anidados y|reintentos funcionan,TEST: Quiz passed!|Nested choices and|retries work
act1_test,A1_TEST_DEMO_CAST,FACE_linus,SIDE_LEFT,DEFAULT_TALK_TIME,TEST: Cast scripted de @[sleep@]|(solo posible por guion),TEST: Scripted @[sleep@] cast|(script-only spell)
act1_test,A1_TEST_LIGHT_DEMO,FACE_linus,SIDE_LEFT,DEFAULT_TALK_TIME,TEST: Cast scripted de @[luz@]|hechizo nuevo hecho con|fases declarativas,TEST: Scripted @[light@] cast|new spell built from|declarative phases
act1_test,A1_TEST_PUZ_CHOICE,FACE_linus,SIDE_LEFT,DEFAULT_TALK_TIME,TEST: ¿Qué puzzle|quieres probar?,TEST: Which puzzle|do you want to try?
act1_test,A1_TEST_PUZZLE_INTRO,FACE_linus,SIDE_LEFT,DEFAULT_TALK_TIME,"TEST Puzzle 1: lanza|@[trueno@], @[fuego@] y @[esconderse@]|en ese orden","TEST Puzzle 1: cast|@[thunder@], @[fire@] and @[hide@]|in that order"
act1_test,A1_TEST_PUZZLE_INTRO_2,FACE_linus,SIDE_LEFT,DEFAULT_TALK_TIME,Notas: trueno MI FA SOL SOL|fuego MI FA SOL LA|esconderse FA SOL SOL FA,Notes: thunder MI FA SOL SOL|fire MI FA SOL LA|hide FA SOL SOL FA
act1_test,A1_TEST_PUZZLE_INTRO_3,FACE_linus,SIDE_LEFT,DEFAULT_TALK_TIME,Fallar un hechizo reinicia|la secuencia desde cero,A wrong cast restarts|the sequence from zero
act1_test,NULL,,,,,
act1_test,A1_TEST_PUZ2_INTRO,FACE_linus,SIDE_LEFT,DEFAULT_TALK_TIME,"TEST Puzzle 2: con INVERTIDO|@[trueno@], @[luz invertida@]|y @[esconderse@]","TEST Puzzle 2: with REVERSED|@[thunder@], @[reversed light@]|and @[hide@]"
act1_test,A1_TEST_PUZ2_INTRO_2,FACE_linus,SIDE_LEFT,DEFAULT_TALK_TIME,Notas: trueno MI FA SOL SOL|luz invertida DO SI LA SOL|esconderse FA SOL SOL FA,Notes: thunder MI FA SOL SOL|reversed light DO SI LA SOL|hide FA SOL SOL FA
act1_test,NULL,,,,,
act1_test,A1_TEST_NEVER,FACE_linus,SIDE_LEFT,DEFAULT_TALK_TIME,TEST: ERROR|esto no debería verse,TEST: ERROR|you should never see this
act1_test,A1_TEST_PUZZLE_OK,FACE_linus,SIDE_LEFT,DEFAULT_TALK_TIME,TEST: ¡Secuencia correcta!|La puerta se abre,TEST: Correct sequence!|The door opens
act1_test,A1_TEST_COMBAT,FACE_linus,SIDE_LEFT,DEFAULT_TALK_TIME,TEST Oleada 1: fantasma|clásico. Contrarresta su|trueno con SOL SOL FA MI,TEST Wave 1: classic ghost|Counter its thunder|with SOL SOL FA MI
act1_test,A1_TEST_WAVE2,FACE_linus,SIDE_LEFT,DEFAULT_TALK_TIME,TEST Oleada 2: fantasma con|DOS hechizos. El @[mordisco@]|NO se puede contrarrestar,TEST Wave 2: ghost with|TWO spells. The @[bite@]|cannot be countered
act1_test,A1_TEST_VICTORY,FACE_linus,SIDE_LEFT,DEFAULT_TALK_TIME,TEST: Combate superado|Volviendo al menú,TEST: Combat cleared|Back to the menu
act1_test,A1_TEST_COMBAT_MENU,FACE_linus,SIDE_LEFT,DEFAULT_TALK_TIME,TEST: ¿Qué tipo|de combate?,TEST: Which kind|of combat?
act1_test,A1_TEST_MELEE,FACE_linus,SIDE_LEFT,DEFAULT_TALK_TIME,TEST Jabalíes: sin vara.|Pulsa @[A@] para golpear|Seis golpes los ahuyentan,TEST Boars: no rod.|Press @[A@] to strike|Six hits drive them away
act1_test,A1_TEST_DEFEAT,FACE_linus,SIDE_LEFT,DEFAULT_TALK_TIME,TEST: Te han derrotado|Reintentando el combate,TEST: You were defeated|Retrying the combat
act1_test,A1_TEST_BYE,FACE_linus,SIDE_LEFT,DEFAULT_TALK_TIME,TEST: Fin del banco de pruebas|Volviendo al dormitorio,TEST: End of the test bench|Returning to the bedroom
act1_bedroom,A1_BEDROOM_PORTRAIT,FACE_linus,SIDE_RIGHT,DEFAULT_TALK_TIME,"Padre, madre y yo","Father, Mother and me"
act1_bedroom,A1_BEDROOM_PORTRAIT2,FACE_linus,SIDE_RIGHT,DEFAULT_TALK_TIME,Es extraño cómo una imagen|puede parecer más viva|que una habitación entera,It's strange how a picture|can seem more alive|than a whole room
act1_bedroom,A1_BEDROOM_PORTRAIT3,FACE_linus,SIDE_RIGHT,DEFAULT_TALK_TIME,Padre siempre miraba un|poco más allá del marco,Father always looked|a little past the frame
act1_bedroom,A1_BEDROOM_PORTRAIT4,FACE_linus,SIDE_RIGHT,DEFAULT_TALK_TIME,Como si incluso entonces|ya estuviera pensando|en marcharse,As if even back then|he was already thinking|of leaving
act1_bedroom,NULL,0,false,DEFAULT_TALK_TIME,,
act1_bedroom,A1_BEDROOM_SHELF,FACE_linus,SIDE_RIGHT,DEFAULT_TALK_TIME,"Crónicas, mapas,|inventarios, genealogías...","Chronicles, maps,|inventories, genealogies..."
act1_bedroom,A1_BEDROOM_SHELF2,FACE_linus,SIDE_RIGHT,DEFAULT_TALK_TIME,El gremio guarda|el mundo en estantes,The guild keeps|the world on shelves
act1_bedroom,A1_BEDROOM_SHELF3,FACE_linus,SIDE_RIGHT,DEFAULT_TALK_TIME,Pero hay cosas que no caben|en un lomo con etiqueta,But some things don't fit|on a labelled spine
act1_bedroom,NULL,0,false,DEFAULT_TALK_TIME,,
act1_bedroom,A1_BEDROOM_CHEST,FACE_linus,SIDE_RIGHT,DEFAULT_TALK_TIME,Juguetes viejos,Old toys
act1_bedroom,A1_BEDROOM_CHEST2,FACE_linus,SIDE_RIGHT,DEFAULT_TALK_TIME,"Cuerdas, tablillas,|una flauta rota...","Strings, small boards,|a broken flute..."
act1_bedroom,A1_BEDROOM_CHEST3,FACE_linus,SIDE_RIGHT,DEFAULT_TALK_TIME,Padre insistía en que|aprendiera música aunque|no fuera pastor,Father insisted I learn|music even if I was|no shepherd
act1_bedroom,A1_BEDROOM_CHEST4,FACE_linus,SIDE_RIGHT,DEFAULT_TALK_TIME,Madre decía que bastaba|con escuchar,Mother said listening|was enough
act1_bedroom,NULL,0,false,DEFAULT_TALK_TIME,,
act1_coast,A1_COAST_ARRIVE,FACE_none,SIDE_LEFT,DEFAULT_TALK_TIME,@[Isla desconocida@]|Un mes más tarde,@[Unknown island@]|One month later
act1_coast,NULL,0,false,DEFAULT_TALK_TIME,,
act1_coast,A1_COAST_L1,FACE_linus,SIDE_RIGHT,DEFAULT_TALK_TIME,"Por fin llegamos, madre|Así que existía","We finally made it, Mother|So it did exist"
act1_coast,A1_COAST_L2,FACE_clio,SIDE_LEFT,DEFAULT_TALK_TIME,Existe|Eso no implica|que nos quiera aquí,It exists|That doesn't mean|it wants us here
act1_coast,A1_COAST_L3,FACE_linus,SIDE_RIGHT,DEFAULT_TALK_TIME,¿Dónde llevará el camino?,Where does the path lead?
act1_coast,A1_COAST_L4,FACE_clio,SIDE_LEFT,DEFAULT_TALK_TIME,Hacia el interior|Y de vuelta antes|del anochecer,Inland|And back before|nightfall
act1_coast,A1_COAST_L5,FACE_clio,SIDE_LEFT,DEFAULT_TALK_TIME,Si has heredado|algo de mí,If you've inherited|anything from me
act1_coast,A1_COAST_L6,FACE_linus,SIDE_RIGHT,DEFAULT_TALK_TIME,Según tú no he heredado|casi nada de ti,According to you I've|inherited almost nothing
act1_coast,A1_COAST_L7,FACE_clio,SIDE_LEFT,DEFAULT_TALK_TIME,"La tendencia|a responder, sí","The tendency|to answer back, yes"
act1_coast,NULL,0,false,DEFAULT_TALK_TIME,,
act1_coast,A1_COAST_TREE,FACE_linus,SIDE_RIGHT,DEFAULT_TALK_TIME,El árbol de hojas rojas|Padre lo describía|exactamente así,The red-leaved tree|Father described it|exactly like this
act1_coast,NULL,0,false,DEFAULT_TALK_TIME,,
act1_coast,A1_COAST_ONWARD,FACE_clio,SIDE_LEFT,DEFAULT_TALK_TIME,No te entretengas|El camino sigue|hacia el interior,Don't linger|The path goes on|inland
act1_coast,NULL,0,false,DEFAULT_TALK_TIME,,
act1_island,A1_ISLAND_ENTER,FACE_linus,SIDE_RIGHT,DEFAULT_TALK_TIME,Todo parece quieto,Everything seems still
act1_island,A1_ISLAND_ENTER2,FACE_clio,SIDE_LEFT,DEFAULT_TALK_TIME,Demasiado quieto,Too still
act1_island,A1_ISLAND_ENTER3,FACE_linus,SIDE_RIGHT,DEFAULT_TALK_TIME,Padre describía este lugar|como si cantara,Father described this place|as if it sang
act1_island,A1_ISLAND_ENTER4,FACE_clio,SIDE_LEFT,DEFAULT_TALK_TIME,Los lugares abandonados|también cantan,Abandoned places|sing too
act1_island,A1_ISLAND_ENTER5,FACE_linus,SIDE_RIGHT,DEFAULT_TALK_TIME,¿Y qué dicen?,And what do they say?
act1_island,A1_ISLAND_ENTER6,FACE_clio,SIDE_LEFT,DEFAULT_TALK_TIME,@[Llegaste tarde@],@[You came too late@]
act1_island,NULL,0,false,DEFAULT_TALK_TIME,,
act1_island,A1_ISLAND_COMBAT,FACE_linus,SIDE_RIGHT,DEFAULT_TALK_TIME,"¡Madre, detrás!","Mother, behind you!"
act1_island,A1_ISLAND_COMBAT2,FACE_clio,SIDE_LEFT,DEFAULT_TALK_TIME,No tenemos tiempo|para contemplaciones,We have no time|for niceties
act1_island,A1_ISLAND_COMBAT3,FACE_none,SIDE_LEFT,DEFAULT_TALK_TIME,Golpea con el botón @[A@],Strike with the @[A@] button
act1_island,NULL,0,false,DEFAULT_TALK_TIME,,
act1_island,A1_ISLAND_HURT,FACE_linus,SIDE_RIGHT,DEFAULT_TALK_TIME,¡Madre!|Estás herida,Mother!|You're hurt
act1_island,A1_ISLAND_HURT2,FACE_clio,SIDE_LEFT,DEFAULT_TALK_TIME,No es grave,It's not serious
act1_island,A1_ISLAND_HURT3,FACE_clio,SIDE_LEFT,DEFAULT_TALK_TIME,Está bien|Es grave,All right|It is serious
act1_island,A1_ISLAND_HURT4,FACE_linus,SIDE_RIGHT,DEFAULT_TALK_TIME,No podremos seguir así,We can't go on like this
act1_island,A1_ISLAND_HURT5,FACE_clio,SIDE_LEFT,DEFAULT_TALK_TIME,"No sé si podré|continuar, hijo|Me duele mucho la pierna","I don't know if I can|go on, son|My leg hurts badly"
act1_island,A1_ISLAND_HURT6,FACE_linus,SIDE_RIGHT,DEFAULT_TALK_TIME,Ahora no hay nadie mirando,No one is watching now
act1_island,A1_ISLAND_HURT7,FACE_linus,SIDE_RIGHT,DEFAULT_TALK_TIME,¿Recuerdas el hechizo|que te enseñó papá?,Do you remember the spell|Father taught you?
act1_island,A1_ISLAND_HURT8,FACE_clio,SIDE_LEFT,DEFAULT_TALK_TIME,Linus...,Linus...
